Passport,0,Rank
United Arab Emirates,464,1
Singapore,460,2
Germany,458,3
Luxembourg,457,4
Finland,457,5
Italy,455,6
Denmark,455,7
Spain,455,8
Austria,453,9
Sweden,453,10
Netherlands,453,11
France,452,12
Portugal,452,13
Belgium,451,14
Japan,451,15
Switzerland,451,16
Malta,450,17
Greece,450,18
United States,449,19
South Korea,449,20
Norway,449,21
Czech Republic,448,22
Ireland,448,23
Hungary,447,24
Lithuania,446,25
Poland,445,26
Slovenia,444,27
United Kingdom,444,28
Slovakia,443,29
Canada,443,30
Latvia,442,31
Cyprus,442,32
Iceland,442,33
New Zealand,442,34
Estonia,441,35
Malaysia,439,36
Romania,438,37
Australia,437,38
Bulgaria,434,39
Croatia,433,40
Liechtenstein,430,41
Monaco,424,42
Brazil,423,43
Argentina,419,44
Chile,419,45
Hong Kong,418,46
San Marino,401,47
Barbados,400,48
Brunei,396,49
Andorra,396,50
Israel,394,51
Mexico,387,52
Uruguay,386,53
Bahamas,384,54
Vatican,378,55
Seychelles,378,56
Saint Kitts and Nevis,378,57
Saint Vincent and the Grenadines,373,58
Antigua and Barbuda,371,59
Trinidad and Tobago,370,60
Costa Rica,368,61
Mauritius,364,62
Ukraine,363,63
Macao,360,64
Peru,360,65
Paraguay,355,66
Saint Lucia,354,67
Grenada,352,68
Panama,350,69
Serbia,346,70
Dominica,342,71
Solomon Islands,341,72
Vanuatu,340,73
Venezuela,334,74
Colombia,334,75
Taiwan,331,76
Honduras,331,77
Samoa,331,78
Guatemala,329,79
Tuvalu,327,80
El Salvador,327,81
Tonga,323,82
Kiribati,320,83
Russia,319,84
Montenegro,318,85
North Macedonia,317,86
Georgia,312,87
Marshall Islands,310,88
Nicaragua,309,89
Turkey,308,90
Moldova,305,91
Bosnia and Herzegovina,304,92
Palau,296,93
Albania,294,94
Micronesia,291,95
South Africa,261,96
Qatar,252,97
Timor-Leste,250,98
Kuwait,249,99
Belize,246,100
Jamaica,238,101
Ecuador,234,102
Fiji,234,103
Bahrain,225,104
Maldives,225,105
Guyana,221,106
Nauru,216,107
Thailand,214,108
Botswana,214,109
Saudi Arabia,213,110
Belarus,212,111
Kazakhstan,208,112
Oman,208,113
Indonesia,203,114
Lesotho,203,115
Swaziland,200,116
Bolivia,199,117
Papua New Guinea,196,118
Suriname,194,119
Malawi,193,120
China,187,121
Tanzania,187,122
Namibia,186,123
Kenya,185,124
Philippines,184,125
Zambia,183,126
Gambia,182,127
Tunisia,182,128
Azerbaijan,182,129
Uganda,178,130
Cape Verde,176,131
Armenia,175,132
Zimbabwe,175,133
Cuba,174,134
Mongolia,174,135
Morocco,173,136
Dominican Republic,173,137
Ghana,172,138
Kyrgyzstan,171,139
Sierra Leone,167,140
India,159,141
Rwanda,159,142
Senegal,158,143
Tajikistan,158,144
Benin,158,145
Uzbekistan,158,146
Sao Tome and Principe,157,147
Burkina Faso,157,148
Ivory Coast,156,149
Mozambique,151,150
Mauritania,150,151
Madagascar,150,152
Vietnam,149,153
Mali,149,154
Gabon,148,155
Cambodia,148,156
Bhutan,145,157
Togo,145,158
Niger,145,159
Guinea,142,160
Guinea-Bissau,141,161
Angola,140,162
Algeria,140,163
Turkmenistan,139,164
Jordan,139,165
Chad,138,166
Laos,135,167
Liberia,135,168
Comoros,134,169
Equatorial Guinea,134,170
Egypt,133,171
Haiti,132,172
Burundi,132,173
Central African Republic,130,174
Cameroon,128,175
Nigeria,125,176
Djibouti,120,177
Sri Lanka,119,178
Lebanon,118,179
Congo,118,180
Myanmar,117,181
Bangladesh,116,182
DR Congo,116,183
Nepal,115,184
Kosovo,114,185
South Sudan,114,186
North Korea,107,187
Ethiopia,107,188
Libya,106,189
Eritrea,105,190
Sudan,104,191
Palestine,104,192
Iran,104,193
Yemen,97,194
Pakistan,90,195
Somalia,89,196
Syria,88,197
Iraq,78,198
Afghanistan,75,199
