Passport,0,Rank
Germany,1387.98,1
Finland,1386.27,2
Luxembourg,1386.13,3
Denmark,1384.53,4
Italy,1382.85,5
Spain,1381.43,6
Sweden,1381.1100000000001,7
Netherlands,1380.0200000000002,8
France,1379.32,9
Austria,1378.3400000000001,10
Portugal,1378.23,11
Belgium,1376.6000000000001,12
Greece,1375.5800000000002,13
Switzerland,1371.88,14
Czech Republic,1371.28,15
Malta,1370.77,16
Norway,1370.3000000000002,17
Hungary,1369.2800000000002,18
United States,1369.12,19
Singapore,1367.79,20
South Korea,1366.5300000000002,21
Japan,1366.12,22
Ireland,1363.3200000000002,23
Lithuania,1363.04,24
Poland,1361.77,25
Slovenia,1361.3000000000002,26
Slovakia,1359.59,27
Canada,1358.96,28
Latvia,1358.38,29
United Kingdom,1357.54,30
Cyprus,1356.2600000000002,31
Estonia,1355.93,32
Iceland,1354.83,33
New Zealand,1353.44,34
Romania,1347.0500000000002,35
Australia,1342.67,36
United Arab Emirates,1341.2400000000002,37
Bulgaria,1339.99,38
Croatia,1335.1000000000001,39
Liechtenstein,1333.6,40
Malaysia,1307.8200000000002,41
Monaco,1303.25,42
Chile,1295.5600000000002,43
Brazil,1292.4700000000003,44
Argentina,1286.5500000000002,45
Hong Kong,1275.23,46
San Marino,1246.0500000000002,47
Barbados,1242.83,48
Andorra,1231.0900000000001,49
Israel,1229.32,50
Mexico,1219.88,51
Uruguay,1215.29,52
Brunei,1211.9499999999998,53
Bahamas,1209.27,54
Saint Kitts and Nevis,1184.7800000000002,55
Saint Vincent and the Grenadines,1182.69,56
Costa Rica,1175.35,57
Vatican,1174.51,58
Trinidad and Tobago,1158.47,59
Antigua and Barbuda,1153.98,60
Seychelles,1144.27,61
Peru,1128.66,62
Paraguay,1126.42,63
Panama,1119.7400000000002,64
Macao,1116.27,65
Ukraine,1113.71,66
Mauritius,1109.8900000000003,67
Grenada,1106.93,68
Saint Lucia,1106.85,69
Dominica,1078.13,70
Honduras,1073.9699999999998,71
Solomon Islands,1068.15,72
Guatemala,1067.51,73
El Salvador,1066.29,74
Serbia,1066.23,75
Colombia,1065.3100000000002,76
Vanuatu,1055.8200000000002,77
Taiwan,1051.8300000000002,78
Tuvalu,1027.1100000000001,79
Samoa,1025.4,80
Venezuela,1021.66,81
Tonga,1006.91,82
Montenegro,1002.8199999999999,83
Kiribati,1000.9300000000001,84
North Macedonia,992.58,85
Nicaragua,991.78,86
Marshall Islands,982.77,87
Georgia,957.2,88
Bosnia and Herzegovina,944.7099999999999,89
Palau,940.47,90
Moldova,939.98,91
Albania,927.53,92
Micronesia,917.8299999999999,93
Russia,818.6700000000001,94
Timor-Leste,784.1700000000001,95
Turkey,781.67,96
South Africa,672.4599999999999,97
Belize,651.0799999999999,98
Jamaica,608.9599999999999,99
Qatar,605.03,100
Ecuador,604.77,101
Fiji,595.48,102
Kuwait,585.06,103
Guyana,570.76,104
Nauru,554.9000000000001,105
Maldives,550.8299999999999,106
Bahrain,530.01,107
Botswana,528.6,108
Thailand,526.58,109
Belarus,510.96000000000004,110
Suriname,505.71999999999997,111
Bolivia,501.84999999999997,112
Lesotho,500.49999999999994,113
Kazakhstan,495.52000000000004,114
Swaziland,490.42,115
Saudi Arabia,490.4,116
Oman,482.97999999999996,117
Papua New Guinea,477.62,118
Indonesia,470.2900000000001,119
Malawi,456.21999999999997,120
Philippines,440.14,121
Namibia,439.0,122
Zambia,435.88,123
Tanzania,430.45,124
Kenya,429.90999999999997,125
Azerbaijan,425.48,126
Dominican Republic,424.55,127
China,422.57000000000005,128
Armenia,419.53,129
Mongolia,418.55000000000007,130
Uganda,409.98,131
Gambia,406.76,132
Cuba,406.49,133
Zimbabwe,406.25,134
Tunisia,401.28999999999996,135
Sierra Leone,384.16999999999996,136
Kyrgyzstan,378.15999999999997,137
Cape Verde,377.0799999999999,138
Morocco,376.43999999999994,139
Ghana,368.41999999999996,140
India,359.42999999999995,141
Sao Tome and Principe,358.96,142
Madagascar,353.05999999999995,143
Uzbekistan,347.15999999999997,144
Tajikistan,347.15999999999997,145
Vietnam,334.03999999999996,146
Mozambique,331.47,147
Benin,331.09,148
Burkina Faso,326.04999999999995,149
Rwanda,323.26,150
Senegal,321.34,151
Gabon,321.03999999999996,152
Cambodia,321.03,153
Mauritania,318.2099999999999,154
Bhutan,315.33,155
Ivory Coast,306.01,156
Mali,302.59,157
Turkmenistan,300.44,158
Haiti,299.01,159
Togo,297.9,160
Comoros,297.77,161
Guinea,294.89,162
Jordan,293.42999999999995,163
Niger,291.5799999999999,164
Angola,291.07,165
Chad,290.13,166
Guinea-Bissau,290.08,167
Burundi,285.49,168
Liberia,284.4,169
Laos,283.37,170
Algeria,280.87,171
Egypt,280.87,172
Equatorial Guinea,275.74,173
Cameroon,274.38,174
Sri Lanka,272.95,175
Central African Republic,265.11,176
Bangladesh,264.93999999999994,177
Djibouti,258.16999999999996,178
Myanmar,254.14999999999998,179
Nigeria,249.91999999999996,180
Kosovo,243.92,181
Congo,239.64,182
Lebanon,236.96999999999997,183
DR Congo,236.26,184
Ethiopia,236.06,185
South Sudan,235.86999999999998,186
Nepal,232.29000000000002,187
Palestine,225.99,188
Iran,219.63,189
Eritrea,216.04000000000002,190
Sudan,212.85000000000002,191
Libya,212.42000000000002,192
North Korea,207.58999999999997,193
Yemen,195.54000000000002,194
Pakistan,195.15999999999997,195
Somalia,185.28,196
Syria,172.88,197
Iraq,162.67000000000002,198
Afghanistan,156.76,199
